name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
trident,vodka,1 oz,aquavit or vodka,1/2 oz,cynar,1 oz,dry sherry,2 oz,peach bitters,lemon twist,,,,cocktail glass
top banana,vodka,1 oz,vodka,1 oz,creme de banana,2 oz,orange juice,,,,,,,old-fashioned glass
emperor norton's mistress,whiskies,3 oz,"fresh strawberries, cut in halves",1 1/2 oz,bourbon whiskey,1/2 oz,vanilla liqueur,1/4 oz,triple sec,strawberry slice,,,,old-fashioned glass
easterner,whiskies,2 oz,straight rye whiskey,1 oz,fresh grapefruit juice,1/2 oz,maple syrup,,grapefruit twist,,,,,cocktail glass
toasted drop,vodka,for glass,"lemon wedge, cinnamon sugar",1 1/2 oz,citrus-flavored vodka,3/4 oz,limoncello,1/4 oz,amaretto,3/4 oz,fresh lemon juice,1 oz,egg white,cocktail glass
eastern sour,whiskies,2 oz,bourbon whiskey,1 1/2 oz,orange juice,1 oz,fresh lime juice,1/4 oz,orgeat or almond syrup,1/4 oz,simple syrup,,orange and lime wheels,highball glass
k. c. b. cocktail,cocktail classics,1/2 oz,kummel,1 1/2 oz,mr. boston gin,1/4 oz,mr. boston apricot flavored brandy,1/4 oz,lemon juice,,,,,cocktail glass
easter elchies,whiskies,2 oz,single-malt scotch whisky,1/2 oz,cherry heering,1/2 oz,punt e mes,1 oz,orange bitters,brandied cherry,,,,cocktail glass
dufftown flip,whiskies,2 oz,blended scotch whiskey,1/2 oz,port,1/2 oz,demerara syrup,1/2 oz,almond milk,1 oz,whole egg,,freshly grated nutmeg,brandy snifter
harvard cooler,brandy,2 oz,apple brandy,1/2 oz,simple syrup,,soda water or ginger ale,,orange and/or lemon zest spiral,,,,,collins glass
the duboudreau cocktail,whiskies,2 oz,straight rye whiskey,3/4 oz,dubonnet rouge,1/4 oz,fernet-branca,1/4 oz,elderflower liqueur,lemon twist,,,,cocktail glass
irish whisky,cocktail classics,1/2 oz,mr. boston triple sec,1/2 oz,absinthe substitute,1/4 oz,maraschino,1 oz,bitters,2 oz,irish whiskey,,,cocktail glass
dubliner,whiskies,2 oz,irish whiskey,1/2 oz,sweet vermouth,1/2 oz,grand marnier,2 oz,orange bitters,"orange twist, flamed",,,,cocktail glass
double standard sour,whiskies,3/4 oz,rye or bourbon whiskey,3/4 oz,gin,1 oz,fresh lemon juice,1/2 oz,white creme de menthe,1/2 oz,grenadine,1/4 oz,simple syrup,cocktail glass
dixie whiskey cocktail,whiskies,2 oz,bourbon whiskey,1/2 oz,white creme de menthe,1/2 oz,triple sec,1/4 oz,simple syrup,1 oz,angostura bitters,,,cocktail glass
hill billy highball,cocktail classics,2 oz,georgia moon corn whiskey,,mountain dew,,,,,,,,,highball glass
the titian,vodka,1 oz,orange-flavored vodka,1/2 oz,grand marnier,1 oz,passion fruit juice,1/2 oz,fresh lime juice,1/2 oz,pomegranate syrup,,fresh raspberry,cocktail glass
tiger tanaka,vodka,3 oz,fresh cilantro leaves,1 oz,slice peeled fresh ginger,2 oz,citrus-flavored vodka,1/2 oz,limoncello,3/4 oz,pineapple juice,,,cocktail glass
grenadine rickey,cocktail classics,1/2 oz,juice of a lime,1 1/2 oz,grenadine,,,,,,,,,highball glass
thyme collins,vodka,2 oz,citrus-flavored vodka,1 oz,mint syrup,1 oz,fresh lemon juice,1 oz,thyme sprig,3 oz,bitter lemon soda,2 oz,long thyme sprigs,collins glass
tabby cat,vodka,2 oz,dubonnet rouge,1 oz,orange-flavored vodka,2 oz,orange bitters,,lemon twist,,,,,cocktail glass
god child,cocktail classics,1 oz,amaretto di saronno,1 oz,mr. boston vodka,1 oz,heavy cream,,,,,,,champagne flute
sweet maria,vodka,1 oz,vodka,1/2 oz,amaretto,1/2 oz,half-and-half,,,,,,,cocktail glass
dirty harry,whiskies,1 oz,absinthe,2 oz,straight rye whiskey,1/2 oz,sweet vermouth,1/4 oz,maraschino liqueur,maraschino cherry,,,,cocktail glass
harvard cocktail,brandy,1 1/2 oz,brandy,3/4 oz,sweet vermouth,1/2 oz,fresh lemon juice,1 oz,grenadine,1 oz,angostura bitters,,,cocktail glass
gin and milk punch,cocktail classics,1 oz,powdered sugar,2 oz,mr. boston gin,1 oz,milk,,,,,,,collins glass
surf rider,vodka,2 oz,vodka,1/2 oz,sweet vermouth,2 oz,fresh orange juice,1/2 oz,fresh lemon juice,1/4 oz,grenadine,,"orange half-wheel, maraschino cherry",highball glass
dinah cocktail,whiskies,1 1/2 oz,bourbon whiskey,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,,fresh mint leaf,,,,,cocktail glass
tea saronno,cocktail classics,6 oz,hot tea,1 1/2 oz,amaretto di saronno,1 oz,whipped cream,,,,,,,stem glass
the summer of love,vodka,2 oz,orange-flavored vodka,2 oz,rose water,1 oz,lillet blanc,1/4 oz,black raspberry liqueur,,,,,cocktail glass
devil's soul,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,mezcal,1/2 oz,amaro,1/4 oz,aperol,1/4 oz,elderflower liqueur,,"orange twist, flamed",cocktail glass
deshler,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,dubonnet rouge,1/4 oz,triple sec,2 oz,angostura bitters,lemon twist,,,,champagne flute
t.n.t. no. 1,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,,,,,,,,,cocktail glass
stupid cupid,vodka,2 oz,citrus-flavored vodka,1/2 oz,sloe gin,1 oz,simple syrup,1 oz,fresh lemon juice,maraschino cherry,,,,cocktail glass
derby,whiskies,2 oz,bourbon whiskey,1/4 oz,benedictine,1 oz,angostura bitters,,lemon twist,,,,,cocktail glass
stockholm 75,vodka,for glass,"lemon wedge, superfine sugar",3/4 oz,citrus-flavored vodka,3/4 oz,simple syrup,3/4 oz,fresh lemon juice,3 oz,chilled champagne,,,cocktail glass
the delmarva cocktail,whiskies,2 oz,straight rye whiskey,1/2 oz,dry vermouth,1/2 oz,white creme de menthe,1/2 oz,fresh lemon juice,fresh mint sprigs,,,,cocktail glass
sputnik,vodka,1 1/4 oz,vodka,1 1/4 oz,peach schnapps,3 oz,fresh orange juice,3 oz,half-and-half,peach slice,,,,red-wine glass
gotham,brandy,1 oz,absinthe or pastis,3 oz,brandy,3 oz,peach bitters,,lemon twist,,,,,old-fashioned glass
de la louisiane,whiskies,3/4 oz,straight rye whiskey,3/4 oz,sweet vermouth,3/4 oz,benedictine,3 oz,absinthe or pastis,3 oz,peychaud's bitters,,maraschino cherry,cocktail glass
the debonair,whiskies,2 1/2 oz,single-malt scotch whisky,1 oz,ginger liqueur,,lemon twist,,,,,,,cocktail glass
soviet,vodka,1 1/2 oz,vodka,1/2 oz,amontillado sherry,1/2 oz,dry vermouth,,lemon twist,,,,,old-fashioned glass
daisy dueller,whiskies,2 oz,tennessee whiskey,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1/2 oz,triple sec,soda water,,,orange and lemon wheels,highball glass
sonic blaster,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,creme de banana,1 oz,pineapple juice,1 oz,orange juice,1 oz,cranberry juice,collins glass
creole lady,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,madeira,1 oz,grenadine,,maraschino cherry,,,,,cocktail glass
rum coooler,cocktail classics,1/2 tsp,powdered sugar,2 oz,carbonated water,1 oz,mr. boston rum,,ginger ale,spirals of lemon and orange peel,,,,collins glass
siberian sleighride,vodka,1 1/4 oz,vodka,3/4 oz,white creme de cacao,1/2 oz,white creme de menthe,3 oz,half-and-half,shaved bittersweet chocolate,,,,brandy snifter
cotton club flip,whiskies,2 oz,vanilla-infused bourbon,1/2 oz,honey-currant syrup,3/4 oz,fresh lime juice,1 oz,egg white,2 oz,rhubarb bitters,,stick of cotton candy,old-fashioned glass
golden dawn,brandy,1 oz,apple brandy,1/2 oz,apricot-flavored brandy,1/2 oz,gin,1 oz,fresh orange juice,1 oz,grenadine,,,old-fashioned glass
sidecar,cocktail classics,1 oz,cognac,1 oz,triple sec,1/2 oz,fresh lemon juice,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,cocktail glass
shalom,vodka,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,old-fashioned glass
commodore cocktail,whiskies,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,1 oz,grenadine,,,,,champagne flute
sea breeze,vodka,1 1/2 oz,vodka,4 oz,cranberry juice,1 oz,fresh grapefruit juice,,lime wedge,,,,,highball glass
screwdriver,vodka,1 1/2 oz,vodka,5 oz,orange juice,,,,,,,,,highball glass
coffee old-fashioned,whiskies,2 oz,bourbon whiskey,3/4 oz,simple syrup,2 oz,angostura bitters,1 oz,cold brewed coffee,2 oz,soda water,,"orange wheel, maraschino cherry",old-fashioned glass
dry martini,cocktail classics,1 2/3 oz,mr. boston gin,1/3 oz,dry vermouth,,,,,,,,,
salty dog,vodka,for glass,"lemon wedge, coarse salt",1 1/2 oz,vodka,5 oz,grapefruit juice,,,,,,,highball glass
dr. cook,cocktail classics,3/4 oz,mr. boston gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,,,,,red-wine glass
dillatini cocktail,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,,,,,,,,,
chi-town flip,whiskies,2 oz,bourbon whiskey,3/4 oz,tawny port,3/4 oz,fresh lemon juice,3/4 oz,vanilla liqueur and 3 oz,1/4 oz,simple syrup,1 oz,whole egg and grated nutmet,collins glass
chef's pain,vodka,2 oz,bourbon whiskey,3/4 oz,fresh lime juice,1/2 oz,blackberry liqueur,1/2 oz,b & b,,,,,cocktail glass
sampan shipwreck a,vodka,1 1/2 oz,vodka,1/2 oz,orange liqueur,1/2 oz,canned coconut milk,1/2 oz,cold brewed chai tea,1/2 oz,orgeat or almond syrup,,pineapple wedge,cocktail glass
chas,whiskies,1 1/2 oz,bourbon whiskey,1/4 oz,amaretto,1/4 oz,benedictine,1/4 oz,triple sec,1/4 oz,orange curacao,,orange twist,cocktail glass
goat's delight,brandy,1 oz,brandy,1 1/2 oz,kirschwasser,1/4 oz,half-and-half,1 oz,orgeat or almond syrup,1 oz,absinthe or pastis,,,cocktail glass
russian bear cocktail,vodka,1 oz,vodka,1/2 oz,white creme de cacao,1/2 oz,half-and-half,,,,,,,cocktail glass
character development,whiskies,2 oz,scotch whiskey,1/2 oz,coconut liqueur,1/2 oz,dry sherry,2 oz,grapefruit bitters,grapefruit twist,,,,cocktail glass
ruby red,vodka,2 oz,grapefruit-flavored vodka,1 1/2 oz,triple sec,1 1/2 oz,fresh ruby red grapefruit juice,1 oz,fresh orange juice,grapefruit twist,,,,cocktail glass
chaplin,whiskies,3/4 oz,bourbon whiskey,3/4 oz,dry sherry,3/4 oz,ramazzotti amaro,1 oz,triple sec,2 oz,orange bitters,,lemon twist,cocktail glass
rouxby red,vodka,for glass,"for glass lemon wedge, coarse salt",1 1/2 oz,grapefruit-flavored vodka,1/4 oz,fresh lemon juice,3/4 oz,grapefruit juice,1/2 oz,campari,1/2 oz,simple syrup,cocktail glass
rosemary clementine sparkle,vodka,1/4 oz,clementine or mandarin orange,1 1/2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,honey syrup,1 oz,fresh rosemary sprig,1 oz,chilled sparkling wine or champagne,cocktail glass
chapel hill,whiskies,2 oz,bourbon whiskey,1/2 oz,triple sec,1/2 oz,fresh lemon juice,,orange twist,,,,,cocktail glass
robin's nest,vodka,1 oz,vodka,1 oz,cranberry juice,1/2 oz,white creme de cacao,,,,,,,cocktail glass
chancellor cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,tawny port,1 oz,peychaud's bitters,lemon twist,,,,cocktail glass
cafe di saronno,cocktail classics,1 oz,amaretto di saronno,,hot black coffee,,,,,,,,,mug
carre reprise,whiskies,1 oz,straight rye whiskey,1 oz,cognac,1 oz,sweet vermouth,1/2 oz,elderflower liqueur,1 oz,angostura bitters,1 oz,peychaud's bitters,old-fashioned glass
gilroy cocktail,brandy,3/4 oz,cherry-flavored brandy,3/4 oz,gin,1/2 oz,dry vermouth,1/2 oz,fresh lemon juice,1 oz,orange bitters,,,cocktail glass
redhead martini,vodka,4 oz,"strawberries, cut into halves",3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1 1/2 oz,citrus-flavored vodka,1 oz,chilled moscato d'asti or sweet sparkling wine,,strawberry,cocktail glass
red apple,vodka,1 1/2 oz,vodka,1 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,grenadine,,,,,cocktail glass
canal street daisy,whiskies,1 oz,blended scotch whiskey,1 oz,orange juice,3/4 oz,fresh lemon juice,1 oz,soda water,1 oz,orange wheel,,,collins glass
canadian cocktail,whiskies,1 1/2 oz,canadian whisky,1/2 oz,triple sec,1/2 oz,simple syrup,1 oz,angostura bitters,,,,,cocktail glass
purple ruby,vodka,1 1/2 oz,vodka,1 1/2 oz,pomegranate juice,1/2 oz,grapefruit juice,1/4 oz,fresh lime juice,1/4 oz,honey syrup,,grapefruit twist,cocktail glass
canadian cherry,whiskies,1 oz,maraschino liqueur,1 1/2 oz,canadian whisky,1/2 oz,maraschino liqueur,1/2 oz,fresh lemon juice,1/2 oz,orange juice,,,old-fashioned glass
orange smile,cocktail classics,1 oz,egg,1 oz,juice of orange,1 oz,grenadine,,,,,,,red-wine glass
purple passion iced tea,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,gin,1/2 oz,black raspberry liqueur,1/2 oz,simple syrup,3/4 oz,fresh lemon juice and 3 oz,highball glass
canadian breeze,whiskies,1 1/2 oz,canadian whisky,3/4 oz,pineapple juice,1/2 oz,fresh lemon juice,1/4 oz,maraschino liqueur,1 oz,"pineapple wedge, maraschino cherry",,,old-fashioned glass
purple passion,vodka,1 1/2 oz,vodka,2 oz,grapefruit juice,2 oz,concord grape juice,1/2 oz,simple syrup,,,,,collins glass
cameron's kick cocktail,whiskies,3/4 oz,blended scotch whiskey,3/4 oz,irish whiskey,1/2 oz,fresh lemon juice,2 oz,orange bitters,,,,,cocktail glass
georgia mint julep,brandy,2 oz,mint sprigs,1/4 oz,simple syrup,1 1/2 oz,brandy,1 oz,peach-flavored brandy,mint sprigs,,,,collins glass
california lemonade,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1 oz,fresh lime juice,1 oz,simple syrup,1/4 oz,grenadine,1 oz,"soda water, orange and lemon wheels, maraschino cherry",collins glass
boston side car,cocktail classics,3/4 oz,mr. boston five star brandy,3/4 oz,mr. boston rum,3/4 oz,mr. boston triple sec,1/2 oz,juice of a lime,,,,,cocktail glass
cablegram,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,ginger ale,,,,,highball glass
bull and bear,whiskies,1 1/2 oz,bourbon whiskey,3/4 oz,orange curacao,1 oz,fresh lemon juice,1/4 oz,grenadine,"maraschino cherry, orange half-wheel",,,,cocktail glass
brooklyn,whiskies,1 1/2 oz,rye or bourbon whiskey,1/2 oz,sweet vermouth,1 oz,amer picon or torani amer,1 oz,maraschino liqueur,,,,,cocktail glass
brighton punch,whiskies,3/4 oz,bourbon whiskey,3/4 oz,brandy,3/4 oz,benedictine,2 oz,orange juice,1 oz,fresh lemon juice,,"soda water, orange and lemon wheels",collins glass
bourbon renewal,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,creme de cassis,1/2 oz,simple syrup,1 oz,angostura bitters,,,old-fashioned glass
bourbon highball,whiskies,2 oz,bourbon whiskey,,ginger ale or soda water,,lemon twist,,,,,,,highball glass
bourbon and elder,whiskies,2 oz,bourbon whiskey,3/4 oz,elderflower liqueur,1 oz,angostura bitters,,lemon twist,,,,,old-fashioned glass
bourbon crusta,whiskies,for glass,"lemon wedge, superfine sugar,  long, wide spiral of orange zest",2 oz,bourbon whiskey,1/2 oz,triple sec,1 oz,maraschino liqueur,1 oz,fresh lemon juice,2 oz,orange bitters,cocktail glass
bourbon cooler,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,fresh lemon juice,1/2 oz,grapefruit juice,1/2 oz,orgeat syrup,peach slice,,,,old-fashioned glass
froupe cocktail,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,benedictine,,,,,,,cocktail glass
bourbon a la creme,whiskies,2 oz,bourbon whiskey,1 oz,dark creme de cacao,1/2 oz,vanilla liqueur,,,,,,,old-fashioned glass
the bone,whiskies,2 oz,bourbon whiskey,1/2 oz,fresh lime juice,1/2 oz,simple syrup,3 oz,hot red pepper sauce,,,,,shot glass
bobby burns cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1 1/2 oz,sweet vermouth,1 oz,benedictine,,lemon twist,,,,,cocktail glass
bloody scotsman,whiskies,24 oz,"smoky scotch whisky, such as laphroaig",24 oz,tomato juice,24 oz,v8 cocktail juice,1c,ketchup,3 oz,fresh lime juice,3 oz,"simple syrup, 3/4 oz",old-fashioned glass
white cargo cocktail,cocktail classics,1 oz,vanilla ice cream,1 oz,mr. boston gin,,,,,,,,,old-fashioned glass
blood and sand,whiskies,1/2 oz,blended scotch whiskey,1/2 oz,cherry-flavored brandy,1/2 oz,sweet vermouth,1/2 oz,orange juice,,,,,cocktail glass
the blinker,whiskies,2 oz,straight rye whisky,1 1/2 oz,grapefruit juice,1 oz,raspberry syrup,,grapefruit twist or skewered raspberry,,,,,cocktail glass
pike's peak cooler,cocktail classics,,cider,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,whole egg,,,,,collins glass
blarney stone cocktail,whiskies,2 oz,irish whiskey,1/2 oz,anisette,1/2 oz,triple sec,1/2 oz,maraschino liqueur,1 oz,angostura bitters,1 oz,"orange twist, green olive",cocktail glass
pacman,cocktail classics,2 oz,lemon juice,1 oz,grenadine,1 oz,bitters,,ginger ale,,,,,collins glass
lemonade (golden),cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,egg yolk,6 oz,water,,,,,collins glass
black hawk,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,sloe gin,1 oz,maraschino cherry,,,,,,,cocktail glass
lemonade (egg),cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,whole egg,,,,,,,collins glass
bensonhurst,whiskies,1 oz,cynar,2 oz,straight rye whiskey,1 oz,dry vermouth,1/4 oz,maraschino liqueur,,,,,cocktail glass
chocolate daisy,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 oz,grenadine,1 1/2 oz,brandy,1 1/2 oz,port,,,stein
the beautiful day,whiskies,1 1/4 oz,irish whiskey,3/4 oz,rhubarb syrup,2 oz,cold brewed green tea,,edible flowers,,,,,old-fashioned glass
french quarter,brandy,2 oz,brandy,3/4 oz,lillet blanc,,lemon quarter-wheel,,,,,,,cocktail glass
creme de gin cocktail,cocktail classics,1 1/2 oz,gin,1/2 oz,white creme de menthe,1 oz,egg white,2 oz,lemon juice,2 oz,orange juice,,,cocktail glass
creamy screwdriver,cocktail classics,2 oz,vodka,1 oz,egg yolk,6 oz,orange juice,1 oz,sugar,,,,,collins glass
creamy orange,cocktail classics,1 oz,orange juice,1 oz,cream sherry,3/4 oz,brandy,1 oz,light cream,,,,,cocktail glass
creamsicle,cocktail classics,1 1/2 oz,vanilla liqueur,1 1/2 oz,milk,3 oz,orange juice,,,,,,,collins glass
cowboy cocktail,cocktail classics,1 1/2 oz,blended whiskey,1 oz,light cream,,,,,,,,,cocktail glass
beals cocktail,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,,,cocktail glass
coronation cocktail,cocktail classics,3/4 oz,gin,3/4 oz,dubonnet,3/4 oz,dry vermouth,,,,,,,cocktail glass
cornell cocktail,cocktail classics,1/2 oz,lemon juice,1 oz,maraschino,1 oz,egg white,1 1/2 oz,gin,,,,,cocktail glass
combo,cocktail classics,2 1/2 oz,dry vermouth,1 oz,brandy,1/2 oz,triple sec,1/2 oz,powdered sugar,1 oz,bitters,,,old-fashioned glass
basin street,whiskies,2 oz,bourbon whiskey,3/4 oz,triple sec,3/4 oz,fresh lemon juice,,,,,,,cocktail glass
cole's raspberry cream,cocktail classics,1 1/2 oz,raspberry yogurt,1 1/2 oz,raspberry ice cream,1 1/2 oz,white creme de cacao,1 1/2 oz,vodka,2 oz,heavy cream,,,champagne flute
cognac coupling,cocktail classics,2 oz,cognac,1 oz,tawny port,1/2 oz,anis,1 oz,lemon juice,,,,,old-fashioned glass
coffee sour,cocktail classics,1 1/2 oz,coffee-flavored brandy,1 oz,lemon juice,1 oz,powdered sugar,1/2 oz,egg white,,,,,sour glass
coffee flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,brandy,1 oz,port,2 oz,light cream (if desired),,,sour glass
coffee cocktail,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,port,1 oz,brandy,,,,,sour glass
purple mask,vodka,1 oz,vodka,1 oz,concord grape juice,1/2 oz,white creme de cacao,,,,,,,cocktail glass
clove cocktail,cocktail classics,1 oz,sweet vermouth,1/2 oz,sloe gin,1/2 oz,muscatel wine,,,,,,,cocktail glass
clover leaf cocktail,cocktail classics,1 oz,juice of a lime,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,,,,,cocktail glass
clover club cocktail,cocktail classics,1 oz,juice of a lemon,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,,,,,cocktail glass
priority cocktail,vodka,2 oz,vodka,1/2 oz,calvados,1/2 oz,coffee liqueur,,lemon twist,,,,,cocktail glass
clamato cocktail,cocktail classics,1 1/2 oz,vodka,1 oz,clam juice,3 oz,tomato juice,,,,,,,old-fashioned glass
cider eggnog,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1/2 oz,milk,,,,,,,collins glass
chocolate soldier,cocktail classics,1/2 oz,juice of a lime,3/4 oz,dubonnet,1 1/2 oz,gin,,,,,,,cocktail glass
chocolate flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,3/4 oz,sloe gin,3/4 oz,brandy,2 oz,light cream (if desired),,,sour glass
chocolate cocktail,cocktail classics,1 1/2 oz,port,1 1/2 oz,yellow chartreuse,1 oz,egg yolk,1 oz,powdered sugar,,,,,sour glass
chicago fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1 oz,port,1 oz,light rum,,,highball glass
pretty in pink,vodka,2 oz,vodka,1/2 oz,cranberry juice,3/4 oz,creme de noyaux,3/4 oz,fresh lemon juice,soda water,,,,collins glass
cherry wine cocktail,cocktail classics,3/4 oz,danish cherry wine,3/4 oz,vodka,1/2 oz,juice of a lime,,,,,,,cocktail glass
cherry flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,cherry-flavored brandy,2 oz,light cream (if desired),,,,,sour glass
cherry cooler,cocktail classics,2 oz,cherry vodka,,cola,,,,,,,,,collins glass
polynesian cocktail,vodka,,"lime wedge, superfine sugar",1 1/2 oz,vodka,3/4 oz,cherry-flavored brandy,3/4 oz,fresh lime juice,,,,,cocktail glass
chateau briand's rum cow,cocktail classics,1 1/4 oz,dark rum,1 oz,sugar,2 oz,bitters,3/4 oz,milk,,,,,collins glass
champagne velvet,cocktail classics,5 oz,chilled stout,5 oz,chilled champagne,,,,,,,,,champagne flute
pink pussycat,vodka,1 1/2 oz,vodka,2 oz,pineapple or grapefruit juice,1/2 oz,grenadine,,,,,,,highball glass
back porch swizzle,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,dry vermouth,1 oz,pineapple juice,1 oz,ginger beer,green chartreuse,,,fresh mint sprig,highball glass
canadian pineapple,cocktail classics,1 1/2 oz,canadian whisky,1 oz,pineapple juice,1 oz,lemon juice,1/2 oz,maraschino,,,,,old-fashioned glass
calm voyage,cocktail classics,1/2 oz,strega,1/2 oz,light rum,1 oz,passion fruit syrup,2 oz,lemon juice,1/2 oz,egg white,,,champagne flute
pink lemonade,vodka,1 1/2 oz,citrus-flavored vodka,1/4 oz,triple sec,1/4 oz,fresh lime juice,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,2 oz,"cranberry juice, lemon wheel",collins glass
caledonia,cocktail classics,1 oz,creme de cacao (brown),1 oz,brandy,1 oz,milk,1 oz,egg yolk,,,,,old-fashioned glass
caf_ di amaretto,cocktail classics,1 oz,hot black coffee,1 oz,amaretto,,whipped cream,,,,,,,mug
cafe de paris cocktail,cocktail classics,1 oz,egg white,1 oz,anis,1 oz,light cream,1 1/2 oz,gin,,,,,cocktail glass
aztec's mark,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,white creme de cacao,1/4 oz,benedictine,2 oz,hot red pepper sauce,orange twist,,,,cocktail glass
fontainebleau special,brandy,1 oz,brandy,1 oz,anisette,1/2 oz,dry vermouth,,,,,,,cocktail glass
suntan,cocktail classics,2 oz,hot shot tropical fruit liqueur,2 oz,orange juice,,,,,,,,,highball glass
sunburn,cocktail classics,2 oz,hot shot tropical fruit liqueur,2 oz,grapefruit juice,,,,,,,,,highball glass
suissesse cocktail,cocktail classics,2 oz,anisette,1 oz,egg white,,,,,,,,,cocktail glass
strawberry sunries,cocktail classics,2 oz,strawberry schnapps,1/2 oz,grenadine,,,,,,,,,highball glass
autumn leaves,whiskies,3/4 oz,straight rye whiskey,3/4 oz,apple brandy,3/4 oz,sweet vermouth,1/4 oz,strega,2 oz,angostura bitters,,orange twist,old-fashioned glass
pickled pink,vodka,2 oz,vodka,1 oz,aquavit,1/2 oz,dill pickle brine,2 oz,angostura bitters,dill sprig,,,,cocktail glass
aquarius,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,cherry-flavored brandy,1 oz,cranberry juice,,,,,,,old-fashioned glass
soul kiss cocktail,cocktail classics,1 1/2 oz,orange juice,1 1/2 oz,dubonnet,3/4 oz,dry vermouth,3/4 oz,bourbon,,,,,cocktail glass
pickled martini,vodka,2 oz,vodka,1/4 oz,dry vermouth,3/4 oz,sweet pickle brine,1,sweet pickle slice,,,,,cocktail glass
sloe gin flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,sloe gin,2 oz,light cream (if desired),,,,,sour glass
angel's share,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,amaro,1/4 oz,creme de cassis,1 oz,orange bitters,lemon twist,,,,cocktail glass
silver stallion fizz,cocktail classics,1 oz,vanilla ice cream,2 oz,gin,,carbonated water,,,,,,,highball glass
silver king cocktail,cocktail classics,1 oz,egg white,1/4 oz,juice of a lemon,1 1/2 oz,gin,1/2 oz,powdered sugar,2 oz,orange bitters,,,cocktail glass
american trilogy,whiskies,1 oz,"brown sugar cube, such as demerara",1 oz,straight rye whiskey,1 oz,applejack,,orange twist,,,,,old-fashioned glass
silver fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,1 oz,egg white,carbonated water,,,,highball glass
sherry twist cocktail,cocktail classics,1 oz,cream sherry,1/2 oz,brandy,1/2 oz,dry vermouth,1/2 oz,triple sec,1/2 oz,lemon juice,,,cocktail glass
sherry sangaree,cocktail classics,1/2 oz,powdered sugar,1 oz,water,2 oz,cream sherry,,carbonated water,1 oz,port,,,old-fashioned glass
sherry milk punch,cocktail classics,1 oz,powdered sugar,2 oz,cream sherry,16 milk,,,,,,,,collins glass
